11.896,5.0,1,0,2.5,5.0,4.0,1,0.06734375,14.87
12.448,5.0,1,0,2.5,5.0,4.0,1,0.06734375,15.56
20.8,5.0,1,0,2.5,5.0,4.0,1,0.046629,26.0
15.36,5.0,1,0,2.5,5.0,4.0,1,0.046629,19.2
9.184,5.0,1,0,2.5,5.0,4.0,1,0.9634925,11.48
7.256,5.0,1,0,2.5,5.0,4.0,1,0.9634925,9.07
6.696,5.0,1,0,2.5,5.0,4.0,1,0.9634925,8.37
8.376,5.0,1,0,2.5,5.0,4.0,1,0.9634925,10.47
3.984,5.0,1,0,2.5,5.0,4.0,1,0.9634925,4.98
5.264,5.0,1,0,2.5,5.0,4.0,1,0.9634925,6.58
11.896,5.5,1,0,3.0,4.0,4.0,1,0.06734375,15.675182923800214
12.448,5.5,1,0,3.0,4.0,4.0,1,0.06734375,15.63117737940094
20.8,5.5,1,0,3.0,4.0,4.0,1,0.046629,26.456846499837496
15.36,5.5,1,0,3.0,4.0,4.0,1,0.046629,19.768870974099542
9.184,5.5,1,0,3.0,4.0,4.0,1,0.9634925,11.523971827806088
7.256,5.5,1,0,3.0,4.0,4.0,0,0.9634925,9.083170166088237
6.696,5.5,1,0,3.0,4.0,4.0,1,0.9634925,8.761599419619701
8.376,5.5,1,0,3.0,4.0,4.0,0,0.9634925,10.721434069407174
3.984,5.5,1,0,3.0,4.0,4.0,0,0.9634925,5.066868884550385
5.264,5.5,1,0,3.0,4.0,4.0,1,0.9634925,6.649109413685604
11.896,6.0,1,1,2.0,4.0,5.0,1,0.06734375,15.080543666899883
12.448,6.0,1,1,2.0,4.0,5.0,1,0.06734375,16.3302712261202
20.8,6.0,1,1,2.0,4.0,5.0,1,0.046629,26.3091213907383
15.36,6.0,1,1,2.0,4.0,5.0,1,0.046629,19.708304192488466
9.184,6.0,1,1,2.0,4.0,5.0,1,0.9634925,11.768167237374064
7.256,6.0,1,1,2.0,4.0,5.0,0,0.9634925,9.097150811079265
6.696,6.0,1,1,2.0,4.0,5.0,1,0.9634925,8.606845901226487
8.376,6.0,1,1,2.0,4.0,5.0,1,0.9634925,10.663546248262298
